METADATA,CH-SIA-2014,INDUSTRIAL
MONTHLY_MULTIPLIER,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY
WEEKDAY,1,0.2,0.2,0.2,0.2,SETPOINT,SETBACK,0.22,0.0,0.0
WEEKDAY,2,0.2,0.2,0.2,0.2,SETPOINT,SETBACK,0.22,0.0,0.0
WEEKDAY,3,0.2,0.2,0.2,0.2,SETPOINT,SETBACK,0.22,0.0,0.0
WEEKDAY,4,0.2,0.2,0.2,0.2,SETPOINT,SETBACK,0.22,0.0,0.0
WEEKDAY,5,0.2,0.2,0.2,0.2,SETPOINT,SETBACK,0.22,0.0,0.0
WEEKDAY,6,0.5,0.5,0.5,0.5,SETPOINT,SETBACK,0.22,0.0,0.0
WEEKDAY,7,0.8,0.8,0.8,0.8,SETPOINT,SETBACK,0.31,0.0,0.0
WEEKDAY,8,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.28,0.0,0.0
WEEKDAY,9,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.3,0.0,0.0
WEEKDAY,10,0.8,0.8,0.8,0.8,SETPOINT,SETPOINT,0.31,0.0,0.0
WEEKDAY,11,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.32,0.0,0.0
WEEKDAY,12,0.5,0.5,0.5,0.5,SETPOINT,SETPOINT,0.32,0.0,0.0
WEEKDAY,13,0.8,0.8,0.8,0.8,SETPOINT,SETPOINT,0.32,0.0,0.0
WEEKDAY,14,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.31,0.0,0.0
WEEKDAY,15,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.32,0.0,0.0
WEEKDAY,16,0.8,0.8,0.8,0.8,SETPOINT,SETPOINT,0.33,0.0,0.0
WEEKDAY,17,0.8,0.8,0.8,0.8,SETPOINT,SETPOINT,0.33,0.0,0.0
WEEKDAY,18,0.8,0.8,0.8,0.8,SETPOINT,SETPOINT,0.32,0.0,0.0
WEEKDAY,19,0.5,0.5,0.5,0.5,SETPOINT,SETBACK,0.31,0.0,0.0
WEEKDAY,20,0.5,0.5,0.5,0.5,SETPOINT,SETBACK,0.27,0.0,0.0
WEEKDAY,21,0.5,0.5,0.5,0.5,SETPOINT,SETBACK,0.26,0.0,0.0
WEEKDAY,22,0.5,0.5,0.5,0.5,SETPOINT,SETBACK,0.26,0.0,0.0
WEEKDAY,23,0.2,0.2,0.2,0.2,SETPOINT,SETBACK,0.27,0.0,0.0
WEEKDAY,24,0.2,0.2,0.2,0.2,SETPOINT,SETBACK,0.25,0.0,0.0
SATURDAY,1,0.0,0.2,0.2,0.0,OFF,OFF,0.22,0.0,0.0
SATURDAY,2,0.0,0.2,0.2,0.0,OFF,OFF,0.22,0.0,0.0
SATURDAY,3,0.0,0.2,0.2,0.0,OFF,OFF,0.22,0.0,0.0
SATURDAY,4,0.0,0.2,0.2,0.0,OFF,OFF,0.22,0.0,0.0
SATURDAY,5,0.0,0.2,0.2,0.0,OFF,OFF,0.22,0.0,0.0
SATURDAY,6,0.0,0.2,0.2,0.0,OFF,OFF,0.22,0.0,0.0
SATURDAY,7,0.0,0.2,0.2,0.0,OFF,OFF,0.22,0.0,0.0
SATURDAY,8,0.0,0.2,0.2,0.0,OFF,OFF,0.22,0.0,0.0
SATURDAY,9,0.0,0.2,0.2,0.0,OFF,OFF,0.23,0.0,0.0
SATURDAY,10,0.0,0.2,0.2,0.0,OFF,OFF,0.24,0.0,0.0
SATURDAY,11,0.0,0.2,0.2,0.0,OFF,OFF,0.24,0.0,0.0
SATURDAY,12,0.0,0.2,0.2,0.0,OFF,OFF,0.07,0.0,0.0
SATURDAY,13,0.0,0.2,0.2,0.0,OFF,OFF,0.06,0.0,0.0
SATURDAY,14,0.0,0.2,0.2,0.0,OFF,OFF,0.06,0.0,0.0
SATURDAY,15,0.0,0.2,0.2,0.0,OFF,OFF,0.06,0.0,0.0
SATURDAY,16,0.0,0.2,0.2,0.0,OFF,OFF,0.06,0.0,0.0
SATURDAY,17,0.0,0.2,0.2,0.0,OFF,OFF,0.05,0.0,0.0
SATURDAY,18,0.0,0.2,0.2,0.0,OFF,OFF,0.05,0.0,0.0
SATURDAY,19,0.0,0.2,0.2,0.0,OFF,OFF,0.05,0.0,0.0
SATURDAY,20,0.0,0.2,0.2,0.0,OFF,OFF,0.05,0.0,0.0
SATURDAY,21,0.0,0.2,0.2,0.0,OFF,OFF,0.05,0.0,0.0
SATURDAY,22,0.0,0.2,0.2,0.0,OFF,OFF,0.05,0.0,0.0
SATURDAY,23,0.0,0.2,0.2,0.0,OFF,OFF,0.05,0.0,0.0
SATURDAY,24,0.0,0.2,0.2,0.0,OFF,OFF,0.05,0.0,0.0
SUNDAY,1,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,2,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,3,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,4,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,5,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,6,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,7,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,8,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,9,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,10,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,11,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,12,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,13,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,14,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,15,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,16,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,17,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,18,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,19,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,20,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,21,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,22,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,23,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
SUNDAY,24,0.0,0.2,0.2,0.0,OFF,OFF,0.03,0.0,0.0
