const_type,description,year_start,year_end,type_mass,type_leak,type_win,type_roof,type_part,type_wall,type_floor,type_base,type_shade,Es,Hs,occupied_bg,Ns,wwr_north,wwr_south,wwr_east,wwr_west,hvac_type_hs,hvac_type_cs,hvac_type_dhw,hvac_type_ctrl,hvac_type_vent,hvac_heat_starts,hvac_heat_ends,hvac_cool_starts,hvac_cool_ends,supply_type_hs,supply_type_dhw,supply_type_cs,supply_type_el
SFH_A,TABULA Single family house … 1859,1000,1859,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_A,ROOF_SFH_A,WALL_AS7,WALL_SFH_A,FLOOR_SFH_A,FLOOR_SFH_A,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_B,TABULA Single family house 1860 - 1918,1860,1918,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_B,ROOF_SFH_B,WALL_AS7,WALL_SFH_B,FLOOR_SFH_B,FLOOR_SFH_B,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_C,TABULA Single family house 1919 - 1948,1919,1948,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_C,ROOF_SFH_C,WALL_AS7,WALL_SFH_C,FLOOR_SFH_C,FLOOR_SFH_C,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_D,TABULA Single family house 1949 - 1957,1949,1957,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_D,ROOF_SFH_D,WALL_AS7,WALL_SFH_D,FLOOR_SFH_D,FLOOR_SFH_D,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_E,TABULA Single family house 1958 - 1968,1958,1968,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_E,ROOF_SFH_E,WALL_AS7,WALL_SFH_E,FLOOR_SFH_E,FLOOR_SFH_E,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_F,TABULA Single family house 1969 - 1978,1969,1978,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_F,ROOF_SFH_F,WALL_AS7,WALL_SFH_F,FLOOR_SFH_F,FLOOR_SFH_F,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_G,TABULA Single family house 1979 - 1983,1979,1983,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_G,ROOF_SFH_G,WALL_AS7,WALL_SFH_G,FLOOR_SFH_G,FLOOR_SFH_G,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_H,TABULA Single family house 1984 - 1994,1984,1994,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_H,ROOF_SFH_H,WALL_AS7,WALL_SFH_H,FLOOR_SFH_H,FLOOR_SFH_H,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS2,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_I,TABULA Single family house 1995 - 2001,1995,2001,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_I,ROOF_SFH_I,WALL_AS7,WALL_SFH_I,FLOOR_SFH_I,FLOOR_SFH_I,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS2,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS18,SUPPLY_HOTWATER_AS18,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_J,TABULA Single family house 2002 - 2009,2002,2009,CONSTRUCTION_TAB,TIGHTNESS_LOW,WINDOW_SFH_J,ROOF_SFH_J,WALL_AS7,WALL_SFH_J,FLOOR_SFH_J,FLOOR_SFH_J,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS2,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS18,SUPPLY_HOTWATER_AS18,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_K,TABULA Single family house 2010 - 2015,2010,2015,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_K,ROOF_SFH_K,WALL_AS7,WALL_SFH_K,FLOOR_SFH_K,FLOOR_SFH_K,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS2,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS18,SUPPLY_HOTWATER_AS18,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_L,TABULA Single family house 2016 …,2016,2030,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_L,ROOF_SFH_L,WALL_AS7,WALL_SFH_L,FLOOR_SFH_L,FLOOR_SFH_L,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS2,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS18,SUPPLY_HOTWATER_AS18,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
MFH_A,TABULA Multi family house … 1859,1000,1859,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_MFH_A,ROOF_MFH_A,WALL_AS7,WALL_MFH_A,FLOOR_MFH_A,FLOOR_MFH_A,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
MFH_B,TABULA Multi family house 1860 - 1918,1860,1918,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_MFH_B,ROOF_MFH_B,WALL_AS7,WALL_MFH_B,FLOOR_MFH_B,FLOOR_MFH_B,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
MFH_C,TABULA Multi family house 1919 - 1948,1919,1948,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_MFH_C,ROOF_MFH_C,WALL_AS7,WALL_MFH_C,FLOOR_MFH_C,FLOOR_MFH_C,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
MFH_D,TABULA Multi family house 1949 - 1957,1949,1957,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_MFH_D,ROOF_MFH_D,WALL_AS7,WALL_MFH_D,FLOOR_MFH_D,FLOOR_MFH_D,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
MFH_E,TABULA Multi family house 1958 - 1968,1958,1968,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_MFH_E,ROOF_MFH_E,WALL_AS7,WALL_MFH_E,FLOOR_MFH_E,FLOOR_MFH_E,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
MFH_F,TABULA Multi family house 1969 - 1978,1969,1978,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_MFH_F,ROOF_MFH_F,WALL_AS7,WALL_MFH_F,FLOOR_MFH_F,FLOOR_MFH_F,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
MFH_G,TABULA Multi family house 1979 - 1983,1979,1983,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_MFH_G,ROOF_MFH_G,WALL_AS7,WALL_MFH_G,FLOOR_MFH_G,FLOOR_MFH_G,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
MFH_H,TABULA Multi family house 1984 - 1994,1984,1994,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_MFH_H,ROOF_MFH_H,WALL_AS7,WALL_MFH_H,FLOOR_MFH_H,FLOOR_MFH_H,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS2,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
MFH_I,TABULA Multi family house 1995 - 2001,1995,2001,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_MFH_I,ROOF_MFH_I,WALL_AS7,WALL_MFH_I,FLOOR_MFH_I,FLOOR_MFH_I,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS2,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS18,SUPPLY_HOTWATER_AS18,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
MFH_J,TABULA Multi family house 2002 - 2009,2002,2009,CONSTRUCTION_TAB,TIGHTNESS_LOW,WINDOW_MFH_J,ROOF_MFH_J,WALL_AS7,WALL_MFH_J,FLOOR_MFH_J,FLOOR_MFH_J,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS2,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS18,SUPPLY_HOTWATER_AS18,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
MFH_K,TABULA Multi family house 2010 - 2015,2010,2015,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_MFH_K,ROOF_MFH_K,WALL_AS7,WALL_MFH_K,FLOOR_MFH_K,FLOOR_MFH_K,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS2,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS18,SUPPLY_HOTWATER_AS18,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
MFH_L,TABULA Multi family house 2016 …,2016,2030,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_MFH_L,ROOF_MFH_L,WALL_AS7,WALL_MFH_L,FLOOR_MFH_L,FLOOR_MFH_L,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS2,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS36,SUPPLY_HEATING_AS36,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
TH_B,TABULA Terraced house 1860 - 1918,1860,1918,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_TH_B,ROOF_TH_B,WALL_AS7,WALL_TH_B,FLOOR_TH_B,FLOOR_TH_B,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
TH_C,TABULA Terraced house 1919 - 1948,1919,1948,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_TH_C,ROOF_TH_C,WALL_AS7,WALL_TH_C,FLOOR_TH_C,FLOOR_TH_C,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
TH_D,TABULA Terraced house 1949 - 1957,1949,1957,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_TH_D,ROOF_TH_D,WALL_AS7,WALL_TH_D,FLOOR_TH_D,FLOOR_TH_D,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
TH_E,TABULA Terraced house 1958 - 1968,1958,1968,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_TH_E,ROOF_TH_E,WALL_AS7,WALL_TH_E,FLOOR_TH_E,FLOOR_TH_E,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
TH_F,TABULA Terraced house 1969 - 1978,1969,1978,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_TH_F,ROOF_TH_F,WALL_AS7,WALL_TH_F,FLOOR_TH_F,FLOOR_TH_F,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
TH_G,TABULA Terraced house 1979 - 1983,1979,1983,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_TH_G,ROOF_TH_G,WALL_AS7,WALL_TH_G,FLOOR_TH_G,FLOOR_TH_G,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
TH_H,TABULA Terraced house 1984 - 1994,1984,1994,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_TH_H,ROOF_TH_H,WALL_AS7,WALL_TH_H,FLOOR_TH_H,FLOOR_TH_H,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
TH_I,TABULA Terraced house 1995 - 2001,1995,2001,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_TH_I,ROOF_TH_I,WALL_AS7,WALL_TH_I,FLOOR_TH_I,FLOOR_TH_I,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS2,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS18,SUPPLY_HOTWATER_AS18,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
TH_J,TABULA Terraced house 2002 - 2009,2002,2009,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_TH_J,ROOF_TH_J,WALL_AS7,WALL_TH_J,FLOOR_TH_J,FLOOR_TH_J,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS2,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS18,SUPPLY_HOTWATER_AS18,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
