METADATA,DINEN16798undDIN18599,SINGLE_RES
MONTHLY_MULTIPLIER,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY,,
WEEKDAY,1,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
WEEKDAY,2,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
WEEKDAY,3,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
WEEKDAY,4,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
WEEKDAY,5,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
WEEKDAY,6,1.0,0.5,0,0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,7,1.0,0.5,0.15,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,8,1.0,0.7,0.15,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,9,1.0,0.7,0.15,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,10,1.0,0.5,0.15,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,11,1.0,0.5,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,12,1.0,0.6,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,13,1.0,0.6,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,14,1.0,0.6,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,15,1.0,0.6,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,16,1.0,0.5,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,17,1.0,0.5,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,18,1.0,0.7,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,19,1.0,0.7,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,20,1.0,0.8,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,21,1.0,0.8,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,22,1.0,0.8,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,23,1.0,0.6,0.15,1.0,SETBACK,SETBACK,0.0,0.0,0.0,,
WEEKDAY,24,1.0,0.6,0.15,1.0,SETBACK,SETBACK,0.0,0.0,0.0,,
SATURDAY,1,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
SATURDAY,2,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
SATURDAY,3,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
SATURDAY,4,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
SATURDAY,5,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
SATURDAY,6,1.0,0.5,0,0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SATURDAY,7,1.0,0.5,0.15,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SATURDAY,8,1.0,0.7,0.15,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SATURDAY,9,1.0,0.7,0.15,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SATURDAY,10,1.0,0.5,0.15,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SATURDAY,11,1.0,0.5,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SATURDAY,12,1.0,0.6,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SATURDAY,13,1.0,0.6,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SATURDAY,14,1.0,0.6,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SATURDAY,15,1.0,0.6,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SATURDAY,16,1.0,0.5,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SATURDAY,17,1.0,0.5,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SATURDAY,18,1.0,0.7,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SATURDAY,19,1.0,0.7,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SATURDAY,20,1.0,0.8,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SATURDAY,21,1.0,0.8,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SATURDAY,22,1.0,0.8,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SATURDAY,23,1.0,0.6,0.15,1.0,SETBACK,SETBACK,0.0,0.0,0.0,,
SATURDAY,24,1.0,0.6,0.15,1.0,SETBACK,SETBACK,0.0,0.0,0.0,,
SUNDAY,1,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
SUNDAY,2,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
SUNDAY,3,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
SUNDAY,4,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
SUNDAY,5,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
SUNDAY,6,1.0,0.5,0,0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,7,1.0,0.5,0.15,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,8,1.0,0.7,0.15,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,9,1.0,0.7,0.15,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,10,1.0,0.5,0.15,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,11,1.0,0.5,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,12,1.0,0.6,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,13,1.0,0.6,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,14,1.0,0.6,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,15,1.0,0.6,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,16,1.0,0.5,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,17,1.0,0.5,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,18,1.0,0.7,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,19,1.0,0.7,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,20,1.0,0.8,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,21,1.0,0.8,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,22,1.0,0.8,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,23,1.0,0.6,0.15,1.0,SETBACK,SETBACK,0.0,0.0,0.0,,
SUNDAY,24,1.0,0.6,0.15,1.0,SETBACK,SETBACK,0.0,0.0,0.0,,