METADATA,mixed-schedule
MONTHLY_MULTIPLIER,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
PROCESSES,ELECTROMOBILITY,HOUR,HEATING,OCCUPANCY,SERVERS,WATER,COOLING,LIGHTING,APPLIANCES,DAY
0.61,0,1,SETBACK,0.04,0,0.04,OFF,0.14,0.16,WEEKDAY
0.61,0,2,SETBACK,0.04,0,0.04,OFF,0.14,0.16,WEEKDAY
0.61,0,3,SETBACK,0.04,0,0.04,OFF,0.14,0.16,WEEKDAY
0.61,0,4,SETBACK,0.04,0,0.04,OFF,0.14,0.16,WEEKDAY
0.61,0,5,SETBACK,0.04,0,0.04,OFF,0.14,0.16,WEEKDAY
0.61,0,6,SETBACK,0.1,0,0.1,OFF,0.18,0.22,WEEKDAY
0.66,0,7,SETBACK,0.15,0,0.15,OFF,0.22,0.28,WEEKDAY
0.64,0,8,SETPOINT,0.35,0,0.35,SETPOINT,0.32,0.36,WEEKDAY
0.65,0,9,SETPOINT,0.68,0,0.68,SETPOINT,0.66,0.68,WEEKDAY
0.66,0,10,SETPOINT,0.96,0,0.96,SETPOINT,0.84,0.88,WEEKDAY
0.66,0,11,SETPOINT,1.0,0,1.0,SETPOINT,1.0,1.0,WEEKDAY
0.66,0,12,SETPOINT,0.74,0,0.74,SETPOINT,0.76,0.74,WEEKDAY
0.66,0,13,SETPOINT,0.48,0,0.48,SETPOINT,0.46,0.48,WEEKDAY
0.66,0,14,SETPOINT,0.68,0,0.68,SETPOINT,0.66,0.68,WEEKDAY
0.66,0,15,SETPOINT,1.0,0,1.0,SETPOINT,1.0,1.0,WEEKDAY
0.66,0,16,SETPOINT,0.8,0,0.8,SETPOINT,0.8,0.8,WEEKDAY
0.66,0,17,SETPOINT,0.64,0,0.64,SETPOINT,0.63,0.64,WEEKDAY
0.66,0,18,SETPOINT,0.32,0,0.32,SETPOINT,0.29,0.32,WEEKDAY
0.66,0,19,SETBACK,0.1,0,0.1,OFF,0.18,0.22,WEEKDAY
0.64,0,20,SETBACK,0.1,0,0.1,OFF,0.18,0.22,WEEKDAY
0.63,0,21,SETBACK,0.1,0,0.1,OFF,0.18,0.22,WEEKDAY
0.63,0,22,SETBACK,0.1,0,0.1,OFF,0.18,0.22,WEEKDAY
0.64,0,23,SETBACK,0.04,0,0.04,OFF,0.14,0.16,WEEKDAY
0.62,0,24,SETBACK,0.04,0,0.04,OFF,0.14,0.16,WEEKDAY
0.61,0,1,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.61,0,2,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.61,0,3,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.61,0,4,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.61,0,5,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.61,0,6,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.61,0,7,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.61,0,8,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.62,0,9,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.62,0,10,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.62,0,11,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.54,0,12,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.53,0,13,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.53,0,14,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.53,0,15,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.53,0,16,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.52,0,17,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.52,0,18,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.52,0,19,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.52,0,20,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.52,0,21,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.52,0,22,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.52,0,23,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.52,0,24,OFF,0.0,0,0.0,OFF,0.14,0.16,SATURDAY
0.52,0,1,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,2,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,3,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,4,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,5,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,6,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,7,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,8,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,9,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,10,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,11,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,12,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,13,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,14,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,15,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,16,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,17,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,18,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,19,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,20,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,21,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,22,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,23,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
0.52,0,24,OFF,0.0,0,0.0,OFF,0.14,0.16,SUNDAY
