Name,Af_m2,Aroof_m2,GFA_m2,Aocc_m2,people0,PV_MWhyr,GRID_MWhyr,GRID_a_MWhyr,GRID_l_MWhyr,GRID_v_MWhyr,GRID_ve_MWhyr,GRID_data_MWhyr,GRID_pro_MWhyr,GRID_aux_MWhyr,GRID_ww_MWhyr,GRID_hs_MWhyr,GRID_cs_MWhyr,GRID_cdata_MWhyr,GRID_cre_MWhyr,E_sys_MWhyr,Eal_MWhyr,Ea_MWhyr,El_MWhyr,Ev_MWhyr,Eve_MWhyr,Edata_MWhyr,Epro_MWhyr,Eaux_MWhyr,E_ww_MWhyr,E_hs_MWhyr,E_cs_MWhyr,E_cre_MWhyr,E_cdata_MWhyr,Qhs_sen_shu_MWhyr,Qhs_sen_ahu_MWhyr,Qhs_lat_ahu_MWhyr,Qhs_sen_aru_MWhyr,Qhs_lat_aru_MWhyr,Qhs_sen_sys_MWhyr,Qhs_lat_sys_MWhyr,Qhs_em_ls_MWhyr,Qhs_dis_ls_MWhyr,Qhs_sys_shu_MWhyr,Qhs_sys_ahu_MWhyr,Qhs_sys_aru_MWhyr,Qcs_sys_scu_MWhyr,Qcs_sys_ahu_MWhyr,Qcs_sys_aru_MWhyr,DH_hs_MWhyr,Qhs_sys_MWhyr,Qhs_MWhyr,DH_ww_MWhyr,Qww_sys_MWhyr,Qww_MWhyr,DC_cs_MWhyr,Qcs_sys_MWhyr,Qcs_MWhyr,DC_cre_MWhyr,Qcre_sys_MWhyr,Qcre_MWhyr,DC_cdata_MWhyr,Qcdata_sys_MWhyr,Qcdata_MWhyr,NG_hs_MWhyr,COAL_hs_MWhyr,OIL_hs_MWhyr,WOOD_hs_MWhyr,SOLAR_hs_MWhyr,NG_ww_MWhyr,COAL_ww_MWhyr,OIL_ww_MWhyr,WOOD_ww_MWhyr,SOLAR_ww_MWhyr,Qcs_sen_scu_MWhyr,Qcs_sen_ahu_MWhyr,Qcs_lat_ahu_MWhyr,Qcs_sen_aru_MWhyr,Qcs_lat_aru_MWhyr,Qcs_sen_sys_MWhyr,Qcs_lat_sys_MWhyr,Qcs_em_ls_MWhyr,Qcs_dis_ls_MWhyr,Qhpro_sys_MWhyr,Qcpro_sys_MWhyr,QH_sys_MWhyr,QC_sys_MWhyr,PV0_kW,GRID0_kW,GRID_a0_kW,GRID_l0_kW,GRID_v0_kW,GRID_ve0_kW,GRID_data0_kW,GRID_pro0_kW,GRID_aux0_kW,GRID_ww0_kW,GRID_hs0_kW,GRID_cs0_kW,GRID_cdata0_kW,GRID_cre0_kW,E_sys0_kW,Eal0_kW,Ea0_kW,El0_kW,Ev0_kW,Eve0_kW,Edata0_kW,Epro0_kW,Eaux0_kW,E_ww0_kW,E_hs0_kW,E_cs0_kW,E_cre0_kW,E_cdata0_kW,Qhs_sen_shu0_kW,Qhs_sen_ahu0_kW,Qhs_lat_ahu0_kW,Qhs_sen_aru0_kW,Qhs_lat_aru0_kW,Qhs_sen_sys0_kW,Qhs_lat_sys0_kW,Qhs_em_ls0_kW,Qhs_dis_ls0_kW,Qhs_sys_shu0_kW,Qhs_sys_ahu0_kW,Qhs_sys_aru0_kW,Qcs_sys_scu0_kW,Qcs_sys_ahu0_kW,Qcs_sys_aru0_kW,DH_hs0_kW,Qhs_sys0_kW,Qhs0_kW,DH_ww0_kW,Qww_sys0_kW,Qww0_kW,DC_cs0_kW,Qcs_sys0_kW,Qcs0_kW,DC_cre0_kW,Qcre_sys0_kW,Qcre0_kW,DC_cdata0_kW,Qcdata_sys0_kW,Qcdata0_kW,NG_hs0_kW,COAL_hs0_kW,OIL_hs0_kW,WOOD_hs0_kW,SOLAR_hs0_kW,NG_ww0_kW,COAL_ww0_kW,OIL_ww0_kW,WOOD_ww0_kW,SOLAR_ww0_kW,Qcs_sen_scu0_kW,Qcs_sen_ahu0_kW,Qcs_lat_ahu0_kW,Qcs_sen_aru0_kW,Qcs_lat_aru0_kW,Qcs_sen_sys0_kW,Qcs_lat_sys0_kW,Qcs_em_ls0_kW,Qcs_dis_ls0_kW,Qhpro_sys0_kW,Qcpro_sys0_kW,QH_sys0_kW,QC_sys0_kW
B1000,9928.533,1508.630,12071.165,11346.895,648.000,nan,537.464,160.304,364.119,0.000,6.000,0.000,0.000,7.042,0.000,0.000,0.000,0.000,0.000,537.464,524.422,160.304,364.119,0.000,6.000,0.000,0.000,7.042,0.000,0.000,0.000,0.000,0.000,456.279,0.000,nan,0.000,nan,456.279,0.000,27.770,1.673,485.722,0.000,0.000,0.000,-22.480,-23.553,809.537,485.722,456.279,66.404,39.842,30.390,14.385,46.033,-43.891,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,-8.027,-13.519,-12.561,-9.785,-20.588,23.303,-1.943,-0.199,0.000,0.000,525.564,46.033,nan,239.984,62.360,141.645,0.000,34.358,0.000,0.000,3.805,0.000,0.000,0.000,0.000,0.000,239.984,204.005,62.360,141.645,0.000,34.358,0.000,0.000,3.805,0.000,0.000,0.000,0.000,0.000,1038.437,0.000,nan,0.000,nan,1038.437,0.000,47.869,4.014,1086.381,0.000,0.000,0.000,0.000,0.000,1810.635,1086.381,1038.437,36.255,21.753,16.172,137.093,438.698,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,273.809,0.000,0.000,0.000,0.000,1093.047,438.698
B1001,3674.660,781.840,4691.056,4409.593,251.000,nan,207.141,62.297,141.503,0.000,2.445,0.000,0.000,0.897,0.000,0.000,0.000,0.000,0.000,207.141,203.799,62.297,141.503,0.000,2.445,0.000,0.000,0.897,0.000,0.000,0.000,0.000,0.000,157.194,0.000,nan,0.000,nan,157.194,0.000,9.638,0.488,167.321,0.000,0.000,0.000,-12.442,-4.786,278.868,167.321,157.194,25.463,15.278,11.781,5.384,17.228,-16.492,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,-4.419,-7.541,-2.620,-1.913,-7.039,9.453,-0.685,-0.051,0.000,0.000,182.598,17.228,nan,90.780,24.234,55.046,0.000,11.263,0.000,0.000,0.498,0.000,0.000,0.000,0.000,0.000,90.780,79.280,24.234,55.046,0.000,11.263,0.000,0.000,0.498,0.000,0.000,0.000,0.000,0.000,329.062,0.000,nan,0.000,nan,329.062,0.000,14.479,1.082,344.066,0.000,0.000,0.000,0.000,0.000,573.443,344.066,329.062,13.690,8.214,6.269,40.282,128.902,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,76.915,0.000,0.000,0.000,0.000,346.950,128.902
B1002,3424.903,728.700,4372.217,4109.884,234.000,nan,193.090,58.063,131.885,0.000,2.285,0.000,0.000,0.858,0.000,0.000,0.000,0.000,0.000,193.090,189.948,58.063,131.885,0.000,2.285,0.000,0.000,0.858,0.000,0.000,0.000,0.000,0.000,152.244,0.000,nan,0.000,nan,152.244,0.000,9.395,0.483,162.121,0.000,0.000,0.000,-11.615,-4.423,270.202,162.121,152.244,24.069,14.441,10.993,5.012,16.038,-15.363,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,-4.120,-7.050,-2.405,-1.788,-6.525,8.838,-0.627,-0.049,0.000,0.000,176.563,16.038,nan,84.638,22.587,51.304,0.000,10.526,0.000,0.000,0.472,0.000,0.000,0.000,0.000,0.000,84.638,73.891,22.587,51.304,0.000,10.526,0.000,0.000,0.472,0.000,0.000,0.000,0.000,0.000,312.903,0.000,nan,0.000,nan,312.903,0.000,13.861,1.056,327.192,0.000,0.000,0.000,0.000,0.000,545.319,327.192,312.903,12.941,7.765,5.850,37.610,120.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,71.712,0.000,0.000,0.000,0.000,329.937,120.351
B1003,3287.114,699.390,4196.316,3944.537,225.000,nan,185.298,55.727,126.579,0.000,2.170,0.000,0.000,0.822,0.000,0.000,0.000,0.000,0.000,185.298,182.306,55.727,126.579,0.000,2.170,0.000,0.000,0.822,0.000,0.000,0.000,0.000,0.000,147.877,0.000,nan,0.000,nan,147.877,0.000,9.157,0.462,157.497,0.000,0.000,0.000,-11.114,-4.012,262.494,157.497,147.877,23.098,13.859,10.543,4.727,15.126,-14.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,-3.934,-6.760,-2.139,-1.667,-6.073,8.427,-0.580,-0.046,0.000,0.000,171.355,15.126,nan,81.011,21.678,49.240,0.000,9.889,0.000,0.000,0.450,0.000,0.000,0.000,0.000,0.000,81.011,70.919,21.678,49.240,0.000,9.889,0.000,0.000,0.450,0.000,0.000,0.000,0.000,0.000,301.899,0.000,nan,0.000,nan,301.899,0.000,13.629,1.004,315.671,0.000,0.000,0.000,0.000,0.000,526.119,315.671,301.899,12.408,7.445,5.610,35.774,114.477,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,68.999,0.000,0.000,0.000,0.000,318.323,114.477
B1004,3425.040,728.730,4372.391,4110.048,234.000,nan,193.146,58.065,131.890,0.000,2.337,0.000,0.000,0.855,0.000,0.000,0.000,0.000,0.000,193.146,189.955,58.065,131.890,0.000,2.337,0.000,0.000,0.855,0.000,0.000,0.000,0.000,0.000,151.326,0.000,nan,0.000,nan,151.326,0.000,9.293,0.479,161.098,0.000,0.000,0.000,-11.649,-4.924,268.497,161.098,151.326,24.043,14.426,10.993,5.179,16.574,-15.846,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,-4.143,-7.050,-2.763,-1.891,-6.906,8.940,-0.677,-0.051,0.000,0.000,175.524,16.574,nan,84.986,22.588,51.307,0.000,10.864,0.000,0.000,0.471,0.000,0.000,0.000,0.000,0.000,84.986,73.894,22.588,51.307,0.000,10.864,0.000,0.000,0.471,0.000,0.000,0.000,0.000,0.000,312.890,0.000,nan,0.000,nan,312.890,0.000,13.860,1.052,327.175,0.000,0.000,0.000,0.000,0.000,545.292,327.175,312.890,12.929,7.758,5.850,38.265,122.449,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,72.413,0.000,0.000,0.000,0.000,329.919,122.449
B1005,5584.569,1188.210,7129.237,6701.483,382.000,nan,314.960,94.676,215.049,0.000,3.926,0.000,0.000,1.310,0.000,0.000,0.000,0.000,0.000,314.960,309.724,94.676,215.049,0.000,3.926,0.000,0.000,1.310,0.000,0.000,0.000,0.000,0.000,203.236,0.000,nan,0.000,nan,203.236,0.000,12.046,0.661,215.943,0.000,0.000,0.000,-19.153,-9.376,359.905,215.943,203.236,37.654,22.592,17.934,8.915,28.529,-27.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,-6.846,-11.475,-5.486,-3.291,-12.332,14.766,-1.350,-0.081,0.000,0.000,238.535,28.529,nan,138.835,36.830,83.656,0.000,17.933,0.000,0.000,0.758,0.000,0.000,0.000,0.000,0.000,138.835,120.486,36.830,83.656,0.000,17.933,0.000,0.000,0.758,0.000,0.000,0.000,0.000,0.000,453.437,0.000,nan,0.000,nan,453.437,0.000,19.897,1.558,474.179,0.000,0.000,0.000,0.000,0.000,790.298,474.179,453.437,20.315,12.189,9.543,62.953,201.448,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,125.824,0.000,0.000,0.000,0.000,478.216,201.448
B1006,5176.183,1101.320,6607.894,6211.420,354.000,nan,291.890,87.752,199.323,0.000,3.478,0.000,0.000,1.337,0.000,0.000,0.000,0.000,0.000,291.890,287.075,87.752,199.323,0.000,3.478,0.000,0.000,1.337,0.000,0.000,0.000,0.000,0.000,210.515,0.000,nan,0.000,nan,210.515,0.000,12.757,0.687,223.959,0.000,0.000,0.000,-17.640,-7.039,373.265,223.959,210.515,35.571,21.342,16.621,7.712,24.679,-23.583,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,-6.277,-10.657,-3.922,-2.727,-10.199,13.384,-1.022,-0.075,0.000,0.000,245.301,24.679,nan,127.980,34.136,77.538,0.000,15.933,0.000,0.000,0.756,0.000,0.000,0.000,0.000,0.000,127.980,111.675,34.136,77.538,0.000,15.933,0.000,0.000,0.756,0.000,0.000,0.000,0.000,0.000,450.386,0.000,nan,0.000,nan,450.386,0.000,19.760,1.555,470.995,0.000,0.000,0.000,0.000,0.000,784.992,470.995,450.386,19.208,11.525,8.845,56.909,182.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,108.525,0.000,0.000,0.000,0.000,474.829,182.110
B1007,4693.021,998.520,5991.091,5631.626,322.000,nan,264.450,79.561,180.717,0.000,3.142,0.000,0.000,1.029,0.000,0.000,0.000,0.000,0.000,264.450,260.278,79.561,180.717,0.000,3.142,0.000,0.000,1.029,0.000,0.000,0.000,0.000,0.000,181.731,0.000,nan,0.000,nan,181.731,0.000,10.968,0.491,193.190,0.000,0.000,0.000,-16.017,-6.285,321.983,193.190,181.731,30.826,18.496,15.083,6.969,22.302,-21.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,-5.704,-9.675,-3.498,-2.440,-9.202,12.115,-0.932,-0.054,0.000,0.000,211.686,22.302,nan,115.830,30.950,70.301,0.000,14.284,0.000,0.000,0.585,0.000,0.000,0.000,0.000,0.000,115.830,101.251,30.950,70.301,0.000,14.284,0.000,0.000,0.585,0.000,0.000,0.000,0.000,0.000,393.076,0.000,nan,0.000,nan,393.076,0.000,17.275,1.125,410.830,0.000,0.000,0.000,0.000,0.000,684.716,410.830,393.076,16.530,9.918,8.026,51.312,164.199,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,98.829,0.000,0.000,0.000,0.000,414.252,164.199
B1008,5701.896,1213.170,7279.016,6842.275,390.000,nan,321.434,96.665,219.567,0.000,3.942,0.000,0.000,1.260,0.000,0.000,0.000,0.000,0.000,321.434,316.231,96.665,219.567,0.000,3.942,0.000,0.000,1.260,0.000,0.000,0.000,0.000,0.000,199.792,0.000,nan,0.000,nan,199.792,0.000,11.792,0.629,212.214,0.000,0.000,0.000,-19.542,-9.012,353.689,212.214,199.792,37.890,22.734,18.309,8.923,28.553,-27.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,-6.983,-11.712,-5.217,-3.228,-12.200,14.940,-1.337,-0.076,0.000,0.000,234.948,28.553,nan,141.305,37.603,85.413,0.000,17.880,0.000,0.000,0.736,0.000,0.000,0.000,0.000,0.000,141.305,123.017,37.603,85.413,0.000,17.880,0.000,0.000,0.736,0.000,0.000,0.000,0.000,0.000,450.435,0.000,nan,0.000,nan,450.435,0.000,19.770,1.499,470.989,0.000,0.000,0.000,0.000,0.000,784.981,470.989,450.435,20.412,12.247,9.743,63.294,202.540,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,124.557,0.000,0.000,0.000,0.000,475.056,202.540
B1009,0.000,938.790,2816.357,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,0.000,0.000,nan,nan,nan,0.000,0.000,0.000,0.000,0.000,0.000,nan,nan,nan,nan,nan,0.000,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,0.000,0.000,0.000,nan,nan,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,0.000,0.000,nan,nan,nan,0.000,0.000,0.000,0.000,0.000,0.000,nan,nan,nan,nan,nan,0.000,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,0.000,nan,nan
B1010,843.977,1298.430,1298.427,1220.521,488.000,nan,13.767,2.535,8.747,0.000,2.204,0.000,0.000,0.281,0.000,0.000,0.000,0.000,0.000,13.767,11.282,2.535,8.747,0.000,2.204,0.000,0.000,0.281,0.000,0.000,0.000,0.000,0.000,55.063,0.000,nan,0.000,nan,55.063,0.000,3.202,0.736,59.000,0.000,0.000,0.000,-10.147,-1.420,98.334,59.000,55.063,230.796,138.478,137.231,3.614,11.566,-11.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,-2.723,-7.074,-0.716,-0.596,-3.439,7.670,-0.425,-0.032,0.000,0.000,197.478,11.566,nan,18.607,1.278,4.408,0.000,12.836,0.000,0.000,0.321,0.000,0.000,0.000,0.000,0.000,18.607,5.686,1.278,4.408,0.000,12.836,0.000,0.000,0.321,0.000,0.000,0.000,0.000,0.000,103.266,0.000,nan,0.000,nan,103.266,0.000,5.416,1.441,109.715,0.000,0.000,0.000,0.000,0.000,182.858,109.715,103.266,304.772,182.863,182.683,55.454,177.453,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,129.849,0.000,0.004,0.000,0.000,286.773,177.453
B1011,2138.260,521.530,3129.161,2565.912,329.000,nan,1269.375,20.314,119.648,0.000,4.506,1123.869,0.000,1.038,0.000,0.000,0.000,0.000,0.000,1269.375,139.962,20.314,119.648,0.000,4.506,1123.869,0.000,1.038,0.000,0.000,0.000,0.000,0.000,87.981,0.000,nan,0.000,nan,87.981,0.000,4.790,0.578,93.349,0.000,0.000,0.000,-18.142,-16.481,155.581,93.349,87.981,32.453,19.472,15.448,10.820,34.624,-31.747,0.000,0.000,0.000,315.962,1011.078,-1011.482,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,-6.486,-10.497,-10.756,-4.008,-17.242,14.505,-2.774,-0.103,0.000,0.000,112.821,1045.702,nan,178.338,8.172,27.019,0.000,14.399,128.296,0.000,0.637,0.000,0.000,0.000,0.000,0.000,178.338,35.191,8.172,27.019,0.000,14.399,128.296,0.000,0.637,0.000,0.000,0.000,0.000,0.000,223.745,0.000,nan,0.000,nan,223.745,0.000,10.248,1.530,234.741,0.000,0.000,0.000,0.000,0.000,391.235,234.741,223.745,17.605,10.563,8.221,61.652,197.286,0.000,0.000,0.000,0.000,36.256,116.019,-115.466,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,126.181,0.000,0.000,0.000,0.000,238.288,313.217
B1012,5401.841,2813.460,8440.377,8102.762,450.000,nan,871.800,232.836,316.838,0.000,20.694,0.000,298.902,2.530,0.000,0.000,0.000,0.000,0.000,871.800,549.674,232.836,316.838,0.000,20.694,0.000,298.902,2.530,0.000,0.000,0.000,0.000,0.000,132.652,0.000,nan,0.000,nan,132.652,0.000,6.564,1.384,140.600,0.000,0.000,0.000,-97.057,-55.804,234.333,140.600,132.652,60.727,36.436,21.086,47.769,152.861,-137.242,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,-34.026,-55.814,-38.491,-8.910,-72.517,64.725,-15.335,-0.283,1358.643,0.000,1535.679,152.861,nan,264.859,71.628,104.410,0.000,50.888,0.000,36.766,2.288,0.000,0.000,0.000,0.000,0.000,264.859,176.039,71.628,104.410,0.000,50.888,0.000,36.766,2.288,0.000,0.000,0.000,0.000,0.000,504.914,0.000,nan,0.000,nan,504.914,0.000,21.362,5.437,531.713,0.000,0.000,0.000,0.000,0.000,886.188,531.713,504.914,26.289,15.773,9.416,246.810,789.791,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,518.300,0.000,0.000,167.119,0.000,699.403,789.791
B1013,2335.104,502.170,3013.037,2802.125,160.000,nan,133.895,40.013,90.886,0.000,1.478,0.000,0.000,1.518,0.000,0.000,0.000,0.000,0.000,133.895,130.899,40.013,90.886,0.000,1.478,0.000,0.000,1.518,0.000,0.000,0.000,0.000,0.000,134.491,0.000,nan,0.000,nan,134.491,0.000,8.523,0.807,143.821,0.000,0.000,0.000,-5.799,-5.035,239.702,143.821,134.491,20.262,12.157,7.504,3.386,10.834,-10.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,-2.046,-3.517,-2.468,-2.328,-4.514,5.845,-0.394,-0.080,0.000,0.000,155.979,10.834,nan,59.244,15.565,35.356,0.000,8.976,0.000,0.000,0.779,0.000,0.000,0.000,0.000,0.000,59.244,50.921,15.565,35.356,0.000,8.976,0.000,0.000,0.779,0.000,0.000,0.000,0.000,0.000,267.822,0.000,nan,0.000,nan,267.822,0.000,15.717,1.698,280.848,0.000,0.000,0.000,0.000,0.000,468.080,280.848,267.822,11.061,6.637,3.993,32.425,103.758,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,68.877,0.000,0.000,0.000,0.000,283.214,103.758
B1014,2173.080,2716.350,16298.098,2607.696,5215.000,nan,203.877,7.352,22.706,0.000,55.955,0.000,0.000,2.579,0.000,0.000,115.284,0.000,0.000,88.593,30.059,7.352,22.706,0.000,55.955,0.000,0.000,2.579,0.000,0.000,115.284,0.000,0.000,79.194,0.000,nan,0.000,nan,79.194,0.000,4.021,0.382,83.597,0.000,0.000,0.000,-309.053,-2.214,139.328,83.597,79.194,0.000,1475.741,1466.577,0.000,311.267,-303.589,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,1844.676,0.000,nan,0.000,-95.518,-206.055,-1.253,-0.764,-96.771,206.818,-7.610,-0.067,0.000,0.000,1559.338,311.267,nan,1072.019,1.890,5.982,0.000,151.895,0.000,0.000,4.963,0.000,0.000,960.019,0.000,0.000,157.628,7.872,1.890,5.982,0.000,151.895,0.000,0.000,4.963,0.000,0.000,960.019,0.000,0.000,517.311,0.000,nan,0.000,nan,517.311,0.000,50.358,2.235,569.904,0.000,0.000,0.000,0.000,0.000,949.839,569.904,517.311,0.000,890.226,885.737,0.000,2592.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,1112.782,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,2103.992,0.000,0.021,0.000,0.000,1353.234,2592.051
