FILE;VARIABLE;DTYPE;UNIT;SHORT_DESCRIPTION;VALUES
Building_geometry.csv;Ydir;float;[-];Directional scalar of the y vector.;{-1...1}
Building_geometry.csv;Zcoor;float;[-];Describes the position of the z vector.;{0.0...n}
Building_geometry.csv;Zdir;float;[-];Directional scalar of the z vector.;{-1...1}
Building_geometry.csv;orientation;string;[-];Orientation of the surface (north/east/south/west/top);{north...}
properties_surfaces.csv;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
properties_surfaces.csv;Freeheight;float;[m];Surface height exposed to the sun;{0.0...n}
properties_surfaces.csv;FactorShade;float;[ratio];Defines whether surface is facing the sun (1) or not (0);{0.0...1}
properties_surfaces.csv;height_ag;float;[m];Aggregated height of the walls.;{0.0...n}
properties_surfaces.csv;Shape_Leng;float;[m];Surface length;{0.0...n}
properties_surfaces.csv;Awall_all;float;[m2];Total aggregated height of the walls, inclusive of windows.;{0.0...n}
radiation.csv;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
radiation.csv;T8760;float;[Wh/m2];Solar insolation for each hourly time step.;{0.01...n}
Total_LCA_embodied.csv;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
Total_LCA_embodied.csv;GFA_m2;float;[m2];Gross floor area;{0.0...n}
Total_LCA_embodied.csv;E_nre_pen_GJ;float;[GJ/yr];Grey energy;{0.0...n}
Total_LCA_embodied.csv;E_nre_pen_MJm2;float;[MJ/m2-yr];Grey energy;{0.0...n}
Total_LCA_embodied.csv;E_ghg_ton;float;[ton/yr];Grey emissions;{0.0...n}
Total_LCA_embodied.csv;E_ghg_kgm2;float;[kg/m2 -yr];Grey emissions;{0.0...n}
Total_LCA_mobility.csv;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
Total_LCA_mobility.csv;GFA_m2;float;[m2];Gross floor area;{0.0...n}
Total_LCA_mobility.csv;M_nre_pen_GJ;float;[GJ/yr];Mobility energy;{0.0...n}
Total_LCA_mobility.csv;M_nre_pen_MJm2;float;[MJ/m2-yr];Mobility energy;{0.0...n}
Total_LCA_mobility.csv;M_ghg_ton;float;[ton/yr];Mobility emissions;{0.0...n}
Total_LCA_mobility.csv;M_ghg_kgm2;float;[kg/m2 -yr];Mobility emissions;{0.0...n}
Total_LCA_operation.csv;GFA_m2;float;[m2];Gross floor area;{0.0...n}
Total_LCA_operation.csv;PV_ghg_ton;float;[ton/yr];Emissions due to operational energy of the PV-System;{0.0...n}
Total_LCA_operation.csv;PV_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area for PV-System;{0.0...n}
Total_LCA_operation.csv;PV_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for PV-System;{0.0...n}
Total_LCA_operation.csv;PV_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) for PV System;{0.0...n}
Total_LCA_operation.csv;GRID_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) from the grid;{0.0...n}
Total_LCA_operation.csv;GRID_ghg_ton;float;[ton/yr];Emissions due to operational energy of the electrictiy from the grid;{0.0...n}
Total_LCA_operation.csv;GRID_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) from grid electricity;{0.0...n}
Total_LCA_operation.csv;GRID_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area from grid electricity;{0.0...n}
Total_LCA_operation.csv;DC_cs_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for district cooling system;{0.0...n}
Total_LCA_operation.csv;DC_cs_ghg_ton;float;[ton/yr];Emissions due to operational energy of the district cooling;{0.0...n}
Total_LCA_operation.csv;DC_cs_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the district cooling;{0.0...n}
Total_LCA_operation.csv;DC_cs_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the district cooling;{0.0...n}
Total_LCA_operation.csv;DC_cdata_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for district cooling system of the data center;{0.0...n}
Total_LCA_operation.csv;DC_cdata_ghg_ton;float;[ton/yr];Emissions due to operational energy of the district cooling for the data center;{0.0...n}
Total_LCA_operation.csv;DC_cdata_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the dstrict cooling for the data center;{0.0...n}
Total_LCA_operation.csv;DC_cdata_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the district cooling for the data center;{0.0...n}
Total_LCA_operation.csv;DC_cre_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for district cooling system for cooling and refrigeration;{0.0...n}
Total_LCA_operation.csv;DC_cre_ghg_ton;float;[ton/yr];Emissions due to operational energy of the district cooling for the cooling and refrigeration;{0.0...n}
Total_LCA_operation.csv;DC_cre_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the dstrict cooling for cooling and refrigeration;{0.0...n}
Total_LCA_operation.csv;DC_cre_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the district cooling for cooling and refrigeration;{0.0...n}
Total_LCA_operation.csv;DH_hs_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for district heating system;{0.0...n}
Total_LCA_operation.csv;DH_hs_ghg_ton;float;[ton/yr];Emissions due to operational energy of the district heating system;{0.0...n}
Total_LCA_operation.csv;DH_hs_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the district heating system;{0.0...n}
Total_LCA_operation.csv;DH_hs_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the district heating system;{0.0...n}
Total_LCA_operation.csv;SOLAR_hs_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) of the solar powered heating system;{0.0...n}
Total_LCA_operation.csv;SOLAR_hs_ghg_ton;float;[ton/yr];Emissions due to operational energy of the solar powered heating system;{0.0...n}
Total_LCA_operation.csv;SOLAR_hs_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the solar powered heating system;{0.0...n}
Total_LCA_operation.csv;SOLAR_hs_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the solar powered heating system;{0.0...n}
Total_LCA_operation.csv;NG_hs_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for natural gas powered heating system;{0.0...n}
Total_LCA_operation.csv;NG_hs_ghg_ton;float;[ton/yr];Emissions due to operational energy of the natural gas powered heating system;{0.0...n}
Total_LCA_operation.csv;NG_hs_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the natural gas powered heating system;{0.0...n}
Total_LCA_operation.csv;NG_hs_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the natural gas powered heating system;{0.0...n}
Total_LCA_operation.csv;COAL_hs_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for coal powered heating system;{0.0...n}
Total_LCA_operation.csv;COAL_hs_ghg_ton;float;[ton/yr];Emissions due to operational energy of the coal powered heating system;{0.0...n}
Total_LCA_operation.csv;COAL_hs_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the coal powered heating system;{0.0...n}
Total_LCA_operation.csv;COAL_hs_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the coal powererd heating system;{0.0...n}
Total_LCA_operation.csv;OIL_hs_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for oil powered heating system;{0.0...n}
Total_LCA_operation.csv;OIL_hs_ghg_ton;float;[ton/yr];Emissions due to operational energy of the oil powered heating system;{0.0...n}
Total_LCA_operation.csv;OIL_hs_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the oil powered heating system;{0.0...n}
Total_LCA_operation.csv;OIL_hs_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the oil powered heating system;{0.0...n}
Total_LCA_operation.csv;WOOD_hs_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for wood powered heating system;{0.0...n}
Total_LCA_operation.csv;WOOD_hs_ghg_ton;float;[ton/yr];Emissions due to operational energy of the wood powered heating system;{0.0...n}
Total_LCA_operation.csv;WOOD_hs_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the wood powered heating system;{0.0...n}
Total_LCA_operation.csv;WOOD_hs_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the wood powered heating system;{0.0...n}
Total_LCA_operation.csv;DH_ww_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for district heating powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;DH_ww_ghg_ton;float;[ton/yr];Emissions due to operational energy of the district heating powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;DH_ww_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the district heating domestic hot water system;{0.0...n}
Total_LCA_operation.csv;DH_ww_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the district heating domestic hot water system;{0.0...n}
Total_LCA_operation.csv;SOLAR_ww_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for solar powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;SOLAR_ww_ghg_ton;float;[ton/yr];Emissions due to operational energy of the solar powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;SOLAR_ww_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the solar poweed domestic hot water system;{0.0...n}
Total_LCA_operation.csv;SOLAR_ww_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the solar powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;NG_ww_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for natural gas powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;NG_ww_ghg_ton;float;[ton/yr];Emissions due to operational energy of the solar powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;NG_ww_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the natural gas powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;NG_ww_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the gas powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;COAL_ww_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for coal powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;COAL_ww_ghg_ton;float;[ton/yr];Emissions due to operational energy of the coal powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;COAL_ww_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the coal powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;COAL_ww_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditionend floor area of the coal powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;OIL_ww_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for oil powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;OIL_ww_ghg_ton;float;[ton/yr];Emissions due to operational energy of the oil powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;OIL_ww_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the oil powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;OIL_ww_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the oil powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;WOOD_ww_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for wood powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;WOOD_ww_ghg_ton;float;[ton/yr];Emissions due to operational energy of the wood powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;WOOD_ww_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the wood powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;WOOD_ww_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the wood powered domestic hot water system;{0.0...n}
Total_LCA_operation.csv;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
Total_LCA_operation.csv;O_ghg_ton;float;[ton/yr];Operation emissions;{0.0...n}
Total_LCA_operation.csv;O_ghg_kgm2;float;[kg/m2 -yr];Operation emissions;{0.0...n}
Total_LCA_operation.csv;O_nre_pen_GJ;float;[GJ/yr];Operation energy;{0.0...n}
Total_LCA_operation.csv;O_nre_pen_MJm2;float;[MJ/m2-yr];Operation energy;{0.0...n}
DiscOp_B01_result_heating.csv;Annualized Investment Costs;float;[USD-2015];Annualized investment cost;{0.0...n}
DiscOp_B01_result_heating.csv;Best configuration;int;[-];Weighted performance indicator for the best configuration;{-1...1}
DiscOp_B01_result_heating.csv;BoilerBG Share;float;[-];Share of biogas;{0...1}
DiscOp_B01_result_heating.csv;BoilerNG Share;float;[-];Share of natural gas;{0...1}
DiscOp_B01_result_heating.csv;CO2 Emissions;float;[kgCO2-eq];CO2-emissions;{0.0...n}
DiscOp_B01_result_heating.csv;EforGHP;float;[W];Electricity consumption of the ground source heat pump;{0.0...n}
DiscOp_B01_result_heating.csv;FC Share;float;[-];Share of fuel cell;{0...1}
DiscOp_B01_result_heating.csv;GHP Share;float;[-];Share of ground source heat pump;{0...1}
DiscOp_B01_result_heating.csv;Nominal Power;float;[W];Nomial Power of the system;{0.0...n}
DiscOp_B01_result_heating.csv;Operation Costs;float;[USD-2015];Operations Cost;{0.0...n}
DiscOp_B01_result_heating.csv;Primary Energy Needs [MJoil-eq];float;[MJ oil-eq];Primary energy needs in MJ oil equivalents;{0.0...n}
DiscOp_B01_result_heating.csv;QfromBG;float;[W];Heat supplied from biogas boiler;{0.0...n}
DiscOp_B01_result_heating.csv;QfromGHP;float;[W];Heat supplied from groundsource heatpump;{0.0...n}
DiscOp_B01_result_heating.csv;QfromNG;float;[W];Heat supplied from natural gas boiler;{0.0...n}
DiscOp_B01_result_heating.csv;Total Costs;float;[USD-2015];Total cost of the district system (annualized investment cost + operation cost);{0.0...n}
B001_results.csv;A_hex_cs;float;[m2];Heat exchanger area corresponding to the demand from space cooling;{0.0...n}
B001_results.csv;A_hex_cs_space_cooling_data_center_and_refrigeration;float;[m2];Heat Exchanger area corresponding to the demand from space cooling, data center and refrigeration;{0.0...n}
B001_results.csv;A_hex_dhw_design_m2;float;[m2];Heat exchanger area corresponding to the demand from Domestic Hot Water;{0.0...n}
B001_results.csv;Heat exchanger area corresponding to the demand from Heating;float;[m2];Area heat exchanger for the cooling system data center and refrigeration;{0.0...n}
B001_results.csv;Electr_array_all_flat_W;float;[W];Electric consumption;{0.0...n}
B001_results.csv;Q_dhw_W;float;[W];Load of domestic hot water system;{0.0...n}
B001_results.csv;Q_heating_W;float;[W];Load of space heating;{0.0...n}
B001_results.csv;Q_space_cooling_and_refrigeration_W;float;[W];Load of space cooling and refrigeration;{0.0...n}
B001_results.csv;Q_space_cooling_data_center_and_refrigeration_W;float;[W];Load of space cooling data center and refrigeration;{0.0...n}
B001_results.csv;T_heating_max_all_buildings_intern_K;float;[K];Maximum setpoint temperature corresponding to heating of all the connected buildings;{0.0...n}
B001_results.csv;T_hotwater_max_all_buildings_intern_K;float;[K];Maximum setpoint temperature corresponding to hot water supply to all the connected buildings;{0.0...n}
B001_results.csv;T_return_DC_space_cooling_and_refrigeration_result_K;float;[K];Return temperature of district cooling corresponding to space cooling of buildings and refrigeration;{0.0...n}
B001_results.csv;T_return_DC_space_cooling_data_center_and_refrigeration_result_K;float;[K];Return temperature of district cooling corresponding to space cooling of buildings, data center and refrigeration;{0.0...n}
B001_results.csv;T_return_DH_result_K;float;[K];Return temperature of district heating corresponding to all buildings;{0.0...n}
B001_results.csv;T_supply_DC_space_cooling_and_refrigeration_result_K;float;[K];Supply temperature of district cooling corresponding to space cooling of buildings and refrigeration;{0.0...n}
B001_results.csv;T_supply_DC_space_cooling_data_center_and_refrigeration_result_K;float;[K];Supply temperature of district cooling corresponding to space cooling of buildings, data center and refrigeration;{0.0...n}
B001_results.csv;T_supply_DH_result_K;float;[K];Supply temperature of district heating corresponding to all buildings;{0.0...n}
B001_results.csv;T_total_supply_max_all_buildings_intern_K;float;[K];Maximum temperature of supply for all buildings;{0.0...n}
B001_results.csv;mdot_DH_result_kgpers;float;[kg/s];Flow rate corresponding to District Heating;{0.0...n}
B001_results.csv;mdot_space_cooling_and_refrigeration_result_kgpers;float;[kg/s];Flow rate corresponding to District Cooling (space cooling and refrigeration);{0.0...n}
B001_results.csv;mdot_space_cooling_data_center_and_refrigeration_result_kgpers;float;[kg/s];Flow rate corresponding to District Cooling (space cooling, data center and refrigeration);{0.0...n}
B001_PVT.csv;Date;date;[datetime];Date and time in hourly steps.;{yyyy-mm-dd hh:mm:ss-Z}
B001_PVT.csv;PVT_walls_south_Q_kWh;float;[kWh];Heat production from photovoltaic-thermal panels on south facades;{0.0...n}
B001_PVT.csv;PVT_walls_south_E_kWh;float;[kWh];Electricity production from photovoltaic-thermal panels on south facades;{0.0...n}
B001_PVT.csv;PVT_walls_south_m2;float;[kWh];Collector surface area on south facades.;{0.0...n}
B001_PVT.csv;PVT_walls_north_Q_kWh;float;[kWh];Heat production from photovoltaic-thermal panels on north facades;{0.0...n}
B001_PVT.csv;PVT_walls_north_E_kWh;float;[kWh];Electricity production from photovoltaic-thermal panels on north facades;{0.0...n}
B001_PVT.csv;PVT_walls_north_m2;float;[kWh];Collector surface area on north facades.;{0.0...n}
B001_PVT.csv;PVT_roofs_top_Q_kWh;float;[kWh];Heat production from photovoltaic-thermal panels on roof tops;{0.0...n}
B001_PVT.csv;PVT_roofs_top_E_kWh;float;[kWh];Electricity production from photovoltaic-thermal panels on roof tops;{0.0...n}
B001_PVT.csv;PVT_roofs_top_m2;float;[kWh];Collector surface area on roof tops.;{0.0...n}
B001_PVT.csv;PVT_walls_east_Q_kWh;float;[kWh];Heat production from photovoltaic-thermal panels on east facades;{0.0...n}
B001_PVT.csv;PVT_walls_east_E_kWh;float;[kWh];Electricity production from photovoltaic-thermal panels on east facades;{0.0...n}
B001_PVT.csv;PVT_walls_east_m2;float;[kWh];Collector surface area on east facades.;{0.0...n}
B001_PVT.csv;PVT_walls_west_Q_kWh;float;[kWh];Heat production from photovoltaic-thermal panels on west facades;{0.0...n}
B001_PVT.csv;PVT_walls_west_E_kWh;float;[kWh];Electricity production from photovoltaic-thermal panels on west facades;{0.0...n}
B001_PVT.csv;PVT_walls_west_m2;float;[m2];West facing wall collector surface area.;{0.0...n}
B001_PVT.csv;Area_PVT_m2;float;[m2];Total area of investigated collector.;{0.0...n}
B001_PVT.csv;radiation_kWh;float;[kWh];Total radiatiative potential.;{0.0...n}
B001_PVT.csv;E_PVT_gen_kWh;float;[kWh];Total electricity generated by the collector.;{0.0...n}
B001_PVT.csv;Q_PVT_gen_kWh;float;[kWh];Total heat generated by the collector.;{0.0...n}
B001_PVT.csv;mcp_PVT_kWperC;float;[kW/Cap];Capacity flow rate (mass flow* specific heat capacity) of the hot water delivered by the collector.;{0.0...n}
B001_PVT.csv;Eaux_PVT_kWh;float;[kWh];Auxiliary electricity consumed by the collector.;{0.0...n}
B001_PVT.csv;Q_PVT_l_kWh;float;[kWh];Collector heat loss.;{0.0...n}
B001_PVT.csv;T_PVT_sup_C;float;[C];Collector heating supply temperature.;{0.0...n}
B001_PVT.csv;T_PVT_re_C;float;[C];Collector heating supply temperature.;{0.0...n}
B001_PV.csv;Date;date;[datetime];Date and time in hourly steps.;{yyyy-mm-dd hh:mm:ss-Z}
B001_PV.csv;PV_walls_south_Q_kWh;float;[kWh];Heat production from PV panels on south facades;{0.0...n}
B001_PV.csv;PV_walls_south_E_kWh;float;[kWh];Electricity production from PV panels on south facades;{0.0...n}
B001_PV.csv;PV_walls_south_m2;float;[kWh];Collector surface area on south facades.;{0.0...n}
B001_PV.csv;PV_walls_north_Q_kWh;float;[kWh];Heat production from PV panels on north facades;{0.0...n}
B001_PV.csv;PV_walls_north_E_kWh;float;[kWh];Electricity production from PV panels on north facades;{0.0...n}
B001_PV.csv;PV_walls_north_m2;float;[kWh];Collector surface area on north facades.;{0.0...n}
B001_PV.csv;PV_roofs_top_Q_kWh;float;[kWh];Heat production from PV panels on roof tops;{0.0...n}
B001_PV.csv;PV_roofs_top_E_kWh;float;[kWh];Electricity production from PV panels on roof tops;{0.0...n}
B001_PV.csv;PV_roofs_top_m2;float;[kWh];Collector surface area on roof tops.;{0.0...n}
B001_PV.csv;PV_walls_east_Q_kWh;float;[kWh];Heat production from PV panels on east facades;{0.0...n}
B001_PV.csv;PV_walls_east_E_kWh;float;[kWh];Electricity production from PV panels on east facades;{0.0...n}
B001_PV.csv;PV_walls_east_m2;float;[kWh];Collector surface area on east facades.;{0.0...n}
B001_PV.csv;PV_walls_west_Q_kWh;float;[kWh];Heat production from PV panels on west facades;{0.0...n}
B001_PV.csv;PV_walls_west_E_kWh;float;[kWh];Electricity production from PV panels on west facades;{0.0...n}
B001_PV.csv;PV_walls_west_m2;float;[kWh];West facing wall collector surface area.;{0.0...n}
B001_PV.csv;Area_PV_m2;float;[m2];Total area of investigated collector.;{0.0...n}
B001_PV.csv;radiation_kWh;float;[kWh];Total radiatiative potential.;{0.0...n}
B001_PV.csv;E_PV_gen_kWh;float;[kWh];Total electricity generated by the collector.;{0.0...n}
B001_PVT_sensors.csv;SURFACE;string;[-];Unique surface ID for each building exterior surface.;{srf0...srfn}
B001_PVT_sensors.csv;AREA_m2;float;[m2];Area of the unique surface for each building.;{0.0...n}
B001_PVT_sensors.csv;BUILDING;string;[-];Unique building ID. It must start with a letter.;alphanumeric
B001_PVT_sensors.csv;TYPE;string;[-];Surface typology.;{walls/windows/roofs}
B001_PVT_sensors.csv;Xcoor;float;[-];Describes the position of the x vector.;{0.0...n}
B001_PVT_sensors.csv;Xdir;float;[-];Directional scalar of the x vector.;{-1...1}
B001_PVT_sensors.csv;Ycoor;float;[-];Describes the position of the y vector.;{0.0...n}
B001_PVT_sensors.csv;Ydir;float;[-];Directional scalar of the y vector.;{-1...1}
B001_PVT_sensors.csv;Zcoor;float;[-];Describes the position of the z vector.;{0.0...n}
B001_PVT_sensors.csv;Zdir;float;[-];Directional scalar of the z vector.;{-1...1}
B001_PVT_sensors.csv;orientation;string;[-];Orientation of the surface (north/east/south/west/top);{north...}
B001_PVT_sensors.csv;total_rad_Whm2;float;[Wh/m2];Total radiatiative potential of a given surfaces area.;{0.0...n}
B001_PVT_sensors.csv;tilt_deg;float;[deg];Tilt angle of roof or walls;{0.0...n}
B001_PVT_sensors.csv;B_deg;float;[deg];Tilt angle of the installed solar panels;{0.0...n}
B001_PVT_sensors.csv;array_spacing_m;float;[m];Spacing between solar arrays.;{0.0...n}
B001_PVT_sensors.csv;surface_azimuth_deg;float;[deg];Azimuth angle of the panel surface e.g. south facing = 180 deg;{0.0...n}
B001_PVT_sensors.csv;area_installed_module_m2;float;[m2];The area of the building suface covered by one solar panel;{0.0...n}
B001_PVT_sensors.csv;CATteta_z;int;[-];Category according to the surface azimuth of the panel;{0...n}
B001_PVT_sensors.csv;CATB;int;[-];Category according to the tilt angle of the panel;{0...n}
B001_PVT_sensors.csv;CATGB;int;[-];Category according to the annual radiation on the panel surface;{0...n}
B001_PVT_sensors.csv;type_orientation;string;[-];Concatenated surface type and orientation.;{type_orientation}
B001_PVT_sensors.csv;surface;string;[-];Unique surface ID for each building exterior surface.;{srf0...srfn}
